000000	Xerox 
B853AC	Apple
B85510	Zioncom Electronics (Shenzhen)
B856BD	ITT LLC
B857D8	Samsung Electronics
B85810	Numera
B85A73	Samsung Electronics
B85AF7	OuyaInc
B85AFE	Handaer Communication Technology (Beijing)
B85E7B	Samsung Electronics
BC51FE	Swann Communications Pty
BC52B4	Nokia
BC52B7	Apple
BC5436	Apple
BC5451	Samsung Electronics
BC54F9	Drogoo Technology
BC54FC	Shenzhen Mercury Communication Technologies
BC5C4C	Elecom
BC5FF4	ASRock In
BC5FF6	Mercury Communication Technologies
C05627	Belkin International
C056E3	Hangzhou Hikvision Digital Technology
C057BC	Avaya Inc
C058A7	Pico Systems
C05E6F	V. Stonkaus firma Kodinis Raktas
C05E79	Shenzhen Huaxun ARK Technologies
C45006	Samsung Electronics
C4518D	Shenzhen YOUHUA Technology
C45444	Quanta Computer
C455A6	Cadac Holdings
C455C2	Bach-Simpson
C45600	Galleon Embedded Computing
C456FE	Lava International
C4571F	June Life Inc
C4576E	Samsung Electronics
C458C2	Shenzhen TATFOOK Technology
C45976	Fugoo Coorporation
C45DD8	HDMI Forum
C850E9	Raisecom Technology
C85195	Huawei Technologies
C85645	Intermas France
C85663	Sunflex Europe
C85B76	LCFC(HeFei) Electronics Technology
CC500A	Fiberhome Telecommunication Technologies
CC501C	KVH Industries
CC5076	Ocom Communications
CC50E3	Espressif
CC51B4	Integrated Device Technology (Malaysia) Sdn. Bhd.
CC52AF	Universal Global Scientific Industrial
CC53B5	Huawei Technologies
CC5459	OnTime Networks AS
CC55AD	RIM
CC593E	Toumaz
CC5A53	Cisco Systems
CC5C75	Weightech Com. Imp. Exp. Equip. Pesagema
CC5D4E	ZyXEL Communications
CC5D57	Information  System Research InstituteInc.
CC5FBF	Topwise 3G Communication
D05099	ASRock In
D05162	Sony Mobile Communications Inc
D052A8	Physical Graph 
D05349	Liteon Technology 
D0542D	Cambridge Industries(Group)
D055B2	Integrated Device Technology (Malaysia) Sdn. Bhd.
D0574C	Cisco Systems
D0577B	Intel 
D05785	Pantech
D057A1	Werma Signaltechnik & KG
D05875	Active Control Technology
D058A8	zte 
D058FC	BSkyB
D05995	Fiberhome Telecommunication Technologies
D059C3	CeraMicro Technology 
D059E4	Samsung Electronics
D05A00	Technicolor CH USA
D05A0F	I-BT Digital
D05AF1	Shenzhen Pulier Tech
D05BA8	zte 
D05C7A	Sartura d.o.o.
D05FB8	Texas Instruments
D05FCE	Hitachi Data Systems
D4503F	Guangdong Oppo Mobile Telecommunications.
D4507A	CEIVA LogicInc
D4522A	TangoWiFi.com
D45251	IBT Ingenieurbureau Broennimann Thun
D45297	nSTREAMS Technologies
D453AF	VIGO System S.A.
D45556	Fiber Mountain
D455BE	Shenzhen Fast Technologies
D45AB2	Galleon Systems
D45C70	Wi-Fi Alliance
D45D42	Nokia 
D45DDF	Pegatron 
D45F25	Shenzhen YOUHUA Technology
D850E6	ASUSTek Computer
D8543A	Texas Instruments
D854A2	Aerohive Networks
D855A3	zte 
D857EF	Samsung Electronics
D858D7	CZ.NICz.s.p.o.
D85B2A	Samsung Electronics
D85D4C	TP-Link Technologies
D85D84	CAx soft
D85DE2	Hon Hai Precision Ind.
D85DEF	Busch-Jaeger Elektro
D85DFB	Private
DC5360	Intel 
DC537C	Compal Broadband Networks
DC5583	Guangdong Oppo Mobile Telecommunications.
DC56E6	Shenzhen Bococom Technology
DC56E7	Apple
DC5726	Power-One
DC5E36	Paterson Technology
E0508B	Zhejiang Dahua Technology
E05124	NXP Semiconductors
E05163	Arcadyan 
E0553D	Cisco Meraki
E05597	Emergent Vision Technologies
E056F4	AxesNetwork Solutions
E0589E	Laerdal Medical
E05B70	Innovid
E05DA6	Detlef Fink Elektronik & Softwareentwicklung
E05F45	Apple
E05FB9	Cisco Systems
E4509A	HW Communications
E455EA	Dedicated Computing
E45614	Suttle Apparatus
E45740	ARRIS Group
E457A8	Stuart Manufacturing
E458B8	Samsung Electronics
E458E7	Samsung Electronics
E45AA2	vivo Mobile Communication
E45D51	SFR
E45D52	Avaya Inc
E45D75	Samsung Electronics
E8508B	Samsung Electro-Mechanics(Thailand)
E8516E	TSMART
E8519D	Yeonhab Precision
E85484	NEO Information Systems
E855B4	SAI Technology
E85659	Advanced-Connectek
E856D6	NCTech
E85AA7	LLC Emzior
E85B5B	LG Electronics Inc
E85BF0	Imaging Diagnostics
E85D6B	Luminate Wireless
E85E53	Infratec Datentechnik
EC51BC	Guangdong Oppo Mobile Telecommunications.
EC52DC	WORLD MEDIA AND TECHNOLOGY.
EC542E	Shanghai XiMei Electronic Technology
EC55F9	Hon Hai Precision Ind.
EC58EA	Ruckus Wireless
EC59E7	Microsoft 
EC5A86	Yulong Computer Telecommunication Scientific (Shenzhen)
EC5C69	Mitsubishi Heavy Industries Mechatronics Systems
EC5F23	Qinghai Kimascend Electronics Technology
F05849	CareView Communications
F05A09	Samsung Electronics
F05B7B	Samsung Electronics
F05C19	Aruba Networks
F05D89	Dycon Limited
F05DC8	Duracell Powermat
F05F5A	Getriebebau NORD and KG
F450EB	Telechips Inc
F45214	Mellanox Technologies
F45433	Rockwell Automation
F45595	HENGBAO 
F4559C	Huawei Technologies
F455E0	Niceway CNC TechnologyHunan Province
F4573E	Fiberhome Telecommunication Technologies
F45842	Boxx TV
F45B73	Wanjiaan Interconnected Technology
F45C89	Apple
F45EAB	Texas Instruments
F45F69	Matsufu Electronics distribution Company
F45FD4	Cisco SPVTG
F45FF7	DQ Technology
F85063	Verathon
F8516D	Denwa Technology.
F852DF	VNL Europe AB
F854AF	ECI Telecom
F8572E	Core BrandsLLC
F85971	Intel 
F85A00	Sanford LP
F85B9C	SB SysTEMS
F85BC9	M-Cube Spa
F85C45	IC Nexus
F85C4D	Nokia
F85F2A	Nokia 
FC5090	SIMEX Sp. z o.o.
FC51A4	ARRIS Group
FC528D	Technicolor CH USA
FC52CE	Control iD
FC539E	Shanghai Wind Technologies
FC55DC	Baltic Latvian Universal Electronics LLC
FC58FA	Shen Zhen Shi Xin Zhong Xin Technology
FC5A1D	Hitron Technologies. Inc
FC5B24	Weibel Scientific A/S
FC5B26	MikroBits
FC5B39	Cisco Systems
006000	Xycom
006001	InnoSys
006002	Screen Subtitling Systems
006003	Teraoka Weigh System PTE
006004	Computadores Modulares SA
006005	Feedback Data
006006	Sotec
006007	Acres Gaming
006008	3Com 
006009	Cisco Systems
00600A	Sord Computer 
00600B	LOGWARE
00600C	Eurotech
00600D	Digital Logic
00600E	Wavenet International
00600F	Westell Technologies
006010	Network Machines
006011	Crystal Semiconductor.
006012	Power Computing 
006013	Netstal Maschinen AG
006014	Edec
006015	NET2NET 
006016	Clariion
006017	Tokimec
006018	Stellar ONE 
006019	Roche Diagnostics
00601A	Keithley Instruments
00601B	Mesa Electronics
00601C	Telxon 
00601D	Lucent Technologies
00601E	Softlab
00601F	Stallion Technologies
006020	Pivotal Networking
006021	DSC 
006022	Vicom Systems
006023	Pericom Semiconductor.
006024	Gradient Technologies
006025	Active Imaging PLC
006026	VIKING Modular Solutions
006027	Superior Modular Products
006028	Macrovision 
006029	Cary Peripherals
00602A	Symicron Computer Communications
00602B	Peak Audio
00602C	LINX Data Terminals
00602D	Alerton Technologies
00602E	Cyclades 
00602F	Cisco Systems
006030	Village Tronic Entwicklung
006031	HRK Systems
006032	I-Cube
006033	Acuity Imaging
006034	ROBERT BOSCH
006035	Dallas Semiconductor
006036	AIT Austrian Institute Of Technology
006037	NXP Semiconductors
006038	Nortel Networks
006039	SanCom Technology
00603A	Quick Controls
00603B	AMTEC spa
00603C	Hagiwara Sys-CoM
00603D	3CX
00603E	Cisco Systems
00603F	Patapsco Designs
006040	Netro.
006041	Yokogawa Digital Computer 
006042	TKS (USA)
006043	iDirect
006044	Litton/Poly-Scientific
006045	Pathlight Technologies
006046	Vmetro
006047	Cisco Systems
006048	Dell EMC
006049	Vina Technologies
00604A	Saic Ideas Group
00604B	Safe-Com & KG
00604C	Sagemcom Broadband SAS
00604D	MMC Networks
00604E	Cycle Computer
00604F	Tattile SRL 
006050	Internix
006051	Quality Semiconductor
006052	PERIPHERALS ENTERPRISE
006053	Toyoda Machine Works
006054	Controlware
006055	Cornell University
006056	Network Tools
006057	Murata Manufacturing
006058	Copper Mountain Communications
006059	Technical Communications.
00605A	Celcore
00605B	IntraServer Technology
00605C	Cisco Systems
00605D	Scanivalve.
00605E	Liberty Technology Networking
00605F	Nippon Unisoft 
006060	Data Innovations North America
006061	Whistle Communications.
006062	Telesync
006063	Psion Dacom PLC.
006064	Netcomm Limited
006065	BERNECKER & RAINER IndUSTRIE-ELEKTRONIC
006066	LACROIX Trafic
006067	Acer Netxus
006068	Dialogic 
006069	Brocade Communications Systems
00606A	Mitsubishi Wireless Communications.
00606B	Synclayer
00606C	Arescom
00606D	Digital Equipment.
00606E	Davicom Semiconductor
00606F	Clarion  Of America
006070	Cisco Systems
006071	Midas LAB
006072	VXL InstrumentsLimited
006073	Redcreek Communications
006074	QSC LLC
006075	Pentek
006076	Schlumberger Technologies Retail Petroleum Systems
006077	Prisa Networks
006078	Power Measurement
006079	Mainstream Data
00607A	DVS
00607B	Fore Systems
00607C	WaveAccess
00607D	Sentient Networks
00607E	Gigalabs
00607F	Aurora Technologies
006080	Microtronix Datacom
006081	TV/CoM International
006082	Novalink Technologies
006083	Cisco Systems
006084	Digital Video
006085	Storage Concepts
006086	Logic Replacement Tech.
006087	Kansai Electric
006088	Analog Devices
006089	Xata
00608A	Citadel Computer
00608B	ConferTech International
00608C	3Com 
00608D	Unipulse.
00608E	HE ELECTRONICSTECHNOLOGIE & SysTEMTECHNIK
00608F	Tekram Technology
006090	Artiza Networks Inc
006091	First Pacific Networks
006092	Micro/Sys
006093	Varian
006094	IBM
006095	Accu-Time Systems
006096	T.S. Microtech
006097	3Com 
006098	HT Communications
006099	SBE
00609A	NJK Techno
00609B	AstroNovaInc
00609C	Perkin-Elmer Incorporated
00609D	PMI Food Equipment Group
00609E	ASC X3 - Information Technology Standards Secretariats
00609F	Phast 
0060A0	Switched Network Technologies
0060A1	VPNet
0060A2	Nihon Unisys Limited
0060A3	Continuum Technology.
0060A4	GEW Technologies (Pty)Ltd
0060A5	Performance Telecom.
0060A6	Particle Measuring Systems
0060A7	MICROSENS & KG
0060A8	Tidomat AB
0060A9	Gesytec MBH
0060AA	Intelligent Devices (IDI)
0060AB	Larscom Incorporated
0060AC	Resilience 
0060AD	MegaChips 
0060AE	Trio Information Systems AB
0060AF	Pacific Micro Data
0060B0	Hewlett-Packard Company
0060B1	Input/Output
0060B2	Process Control.
0060B3	Z-CoM
0060B4	Glenayre R&D
0060B5	KEBA
0060B6	Land Computer
0060B7	Channelmatic
0060B8	CoRELIS
0060B9	NEC Platforms
0060BA	Sahara Networks
0060BB	Cabletron Systems
0060BC	KeunYoung Electronics & Communication
0060BD	Enginuity Communications
0060BE	Webtronics
0060BF	Macraigor Systems
0060C0	Nera Networks AS
0060C1	WaveSpan 
0060C2	MPL AG
0060C3	Netvision 
0060C4	Soliton Systems K.K.
0060C5	Ancot.
0060C6	DCS AG
0060C7	Amati Communications.
0060C8	Kuka Welding Systems & Robots
0060C9	ControlNet
0060CA	Harmonic Systems Incorporated
0060CB	Hitachi Zosen 
0060CC	EmtrakIncorporated
0060CD	VideoServer
0060CE	Acclaim Communications
0060CF	Alteon Networks
0060D0	Snmp Research Incorporated
0060D1	Cascade Communications
0060D2	Lucent Technologies Taiwan Telecommunications
0060D3	AT&T
0060D4	Eldat Communication
0060D5	AMADA MIYACHI
0060D6	NovAtel
0060D7	Ecole Polytechnique Federale de Lausanne (Epfl)
0060D8	Elmic Systems
0060D9	Transys Networks
0060DA	Red Lion ControlsLP
0060DB	NTP Elektronik A/S
0060DC	NEC Magnus Communications
0060DD	Myricom
0060DE	Kayser-Threde
0060DF	Brocade Communications Systems
0060E0	Axiom Technology
0060E1	Orckit Communications
0060E2	Quest Engineering & Development
0060E3	Arbin Instruments
0060E4	Compuserve
0060E5	Fuji Automation
0060E6	Shomiti Systems Incorporated
0060E7	Randata
0060E8	Hitachi Computer Products (America)
0060E9	Atop Technologies
0060EA	StreamLogic
0060EB	Fourthtrack Systems
0060EC	Hermary Opto Electronics
0060ED	Ricardo Test Automation
0060EE	Apollo
0060EF	Flytech Technology
0060F0	Johnson & Johnson MedicalInc
0060F1	EXP Computer
0060F2	Lasergraphics
0060F3	Performance Analysis BroadbandSpirent plc
0060F4	ADVANCED CoMPUTER SOLUTIONS
0060F5	Icon West
0060F6	Nextest Communications Products
0060F7	Datafusion Systems
0060F8	Loran International Technologies
0060F9	Diamond Lane Communications
0060FA	Educational Technology Resources
0060FB	Packeteer
0060FC	Conservation Through Innovation
0060FD	NetICs
0060FE	Lynx System Developers
0060FF	QuVis
006171	Apple
0062EC	Cisco Systems
006440	Cisco Systems
0064A6	Maquet CardioVascular
00664B	Huawei Technologies
006B8E	Shanghai Feixun Communication
006B9E	VizioInc
006BA0	Shenzhen Universal Intellisys PTE
006BF1	Cisco Systems
006CBC	Cisco Systems
006CFD	Sichuan Changhong Electric
006D52	Apple
006DFB	Vutrix Technologies
006F64	Samsung Electronics
026086	Logic Replacement Tech.
02608C	3Com 
046169	Media Global Links
046273	Cisco Systems
0462D7	Alstom Hydro France
0463E0	Nome Oy
046565	Testop
046785	scemtec Hard- und Software fuer Mess- und Steuerungstechnik
0469F8	Apple
046B1B	SysDINE
046C9D	Cisco Systems
046D42	Bryston
046E02	OpenRTLS Group
046E49	TaiYear Electronic Technology (Suzhou)
08606E	ASUSTek Computer
086266	ASUSTek Computer
086361	Huawei Technologies
08661F	Palo Alto Networks
086698	Apple
08674E	Hisense broadband multimedia technology
0868D0	Japan System Design
0868EA	Eito Electronics
086A0A	Askey Computer
086D41	Apple
086DF2	Shenzhen MIMOWAVE Technology
0C6076	Hon Hai Precision Ind.
0C6111	Anda Technologies SAC
0C6127	Actiontec ElectronicsInc
0C61CF	Texas Instruments
0C62A6	Hui Zhou Gaoshengda Technology
0C63FC	Nanjing Signway Technology
0C6803	Cisco Systems
0C6ABC	Fiberhome Telecommunication Technologies
0C6AE6	Stanley Security Solutions
0C6E4F	PrimeVOLT
0C6F9C	Shaw Communications
10604B	Hewlett-Packard Company
1062C9	Adatis & KG
1062D0	Technicolor CH USA
1062EB	D-Link International
1064E2	ADFweb.com s.r.l.
106530	Dell
1065A3	Core Brands LLC
1065CF	Iqsim
106682	NEC Platforms
10683F	LG Electronics (Mobile Communications)
106F3F	Buffalo.Inc
106FEF	Ad-Sol Nissin
146080	zte 
146102	Alpine Electronics
14612F	Avaya Inc
146308	Jabil Circuit (Shanghai)
146A0B	Cypress Electronics Limited
146B72	Shenzhen Fortune Ship Technology
146B9C	Shenzhen Bilian Electronic
146E0A	Private
186024	Hewlett-Packard Company
1861C7	lemonbeat
18622C	Sagemcom Broadband SAS
186472	Aruba Networks
186571	Top Victory Electronics (Taiwan)
186590	Apple
1866C7	Shenzhen Libre Technology
1866DA	Dell
1866E3	Veros Systems
18673F	Hanover Displays Limited
186751	KOMEG Industrielle Messtechnik
1867B0	Samsung Electronics
18686A	zte 
186882	Beward R&D
1868CB	Hangzhou Hikvision Digital Technology
1869DA	China Mobile Group Device
186D99	Adanis
1C60DE	Mercury Communication Technologies
1C62B8	Samsung Electronics
1C63B7	OpenProducts 237 AB
1C659D	Liteon Technology 
1C666D	Hon Hai Precision Ind.
1C66AA	Samsung Electronics
1C6758	Huawei Technologies
1C69A5	BlackBerry RTS
1C6A7A	Cisco Systems
1C6BCA	Mitsunami
1C6E4C	Logistic Service & Engineering
1C6E76	Quarion Technology Inc
1C6F65	Giga-Byte Technology
206274	Microsoft 
20635F	Abeeway
206432	Samsung Electro Mechanics
20677C	Hewlett Packard Enterprise
2067B1	Pluto
20689D	Liteon Technology 
206A8A	Wistron Infocomm (Zhongshan) 
206AFF	Atlas Elektronik UK Limited
206BE7	TP-Link Technologies
206C8A	Aerohive Networks
206E9C	Samsung Electronics
206FEC	Braemac CA LLC
246081	razberi technologies
24615A	China Mobile Group Device
246278	Sysmocom - Systems for mobile Communications
2464EF	CYG Sunri
246511	AVM
246880	Braveridge.Co.
24693E	innodisk 
24694A	Jasmine Systems
246968	TP-Link Technologies
2469A5	Huawei Technologies
246AAB	IT-IS International
246C8A	YUKAI Engineering
246E96	Dell
286046	Lantech Communications Global
286094	Capelec
286336	Siemens AG - Industrial Automation - EWA
28656B	Keystone Microtech 
2866E3	Azurewave Technologies
286AB8	Apple
286ABA	Apple
286C07	XIAOMI ElectronicsCo.
286D97	SAMJIN
286ED4	Huawei Technologies
286F7F	Cisco Systems
2C600C	Quanta Computer
2C61F6	Apple
2C625A	Finest Security Systems
2C6289	Regenersis (Glenrothes)
2C6373	Sichuan Tianyi Comheart Telecomco.
2C6798	IntalTech
2C67FB	ShenZhen Zhengjili Electronics
2C69BA	RF ControlsLLC
2C6A6F	IEEE Registration Authority
2C6B7D	Texas Instruments
2C6BF5	Juniper Networks
2C6E85	Intel 
2C6FC9	Hon Hai Precision Ind.
306023	ARRIS Group
306112	PAV
306118	Paradom
30636B	Apple
3065EC	Wistron (ChongQing)
30688C	Reach Technology
30694B	RIM
306A85	Samsung Electronics
306CBE	Skymotion Technology (HK) Limited
306E5C	Validus Technologies
346178	The Boeing Company
346288	Cisco Systems
3464A9	Hewlett-Packard Company
34684A	Teraworks
346895	Hon Hai Precision Ind.
346987	zte 
346AC2	Huawei Technologies
346B46	Sagemcom Broadband SAS
346BD3	Huawei Technologies
346C0F	Pramod Telecom Pvt.
346E8A	Ecosense
346E9D	Ericsson AB
346F90	Cisco Systems
346F92	White Rodgers Division
346FED	Enovation Controls
386077	Pegatron 
3863BB	Hewlett-Packard Company
3863F6	3NOD Multimedia(Shenzhen)Co.
386645	OOSIC Technology
3866F0	Apple
386793	Asia Optical
3868DD	Inventec 
386B1C	Shenzhen Mercury Communication Technologies
386BBB	ARRIS Group
386C9B	Ivy Biomedical
386E21	Wasion Group
386E88	zte 
386EA2	vivo Mobile Communication
3C6104	Juniper Networks
3C6200	Samsung Electronics
3C6278	Shenzhen Jetnet Technology
3C6716	Lily Robotics
3C672C	Sciovid
3C678C	Huawei Technologies
3C6816	VXi 
3C6A7D	Niigata Power Systems
3C6A9D	Dexatek Technology
3C6AA7	Intel 
3C6E63	Mitron Oy
3C6F45	Fiberpro
3C6FEA	Panasonic India Pvt.
3C6FF7	EnTek Systems
40605A	Hawkeye Tech
406186	Micro-Star International
40618E	Stella-Green Co
406231	Gifa
4062B6	Tele System Communication
4064A4	THE Furukawa Electric
4065A3	Sagemcom Broadband SAS
40667A	mediola - Connected living AG
406826	Thales UK Limited
406A8E	Hangzhou Puwell OE Tech
406AAB	RIM
406C8F	Apple
406F2A	BlackBerry RTS
446132	ecobee Inc
44619C	FONsystem
446246	Comat AG
44650D	Amazon Technologies
44656A	Mega Video Electronic(HK) Industry
44666E	IP-Line
4466FC	Guangdong Oppo Mobile Telecommunications.
446755	Orbit Irrigation
4468AB	Juin CompanyLimited
446A2E	Huawei Technologies
446AB7	ARRIS Group
446C24	Reallin Electronic
446D57	Liteon Technology 
446D6C	Samsung Electronics
446EE5	Huawei Technologies
48605F	LG Electronics (Mobile Communications)
4860BC	Apple
4861A3	Concern Axion JSC
486276	Huawei Technologies
4865EE	IEEE Registration Authority
486834	Silicon Motion
486B2C	BBK Educational Electronics.
486B91	Fleetwood Group
486DBB	Vestel Elektronik San ve Tic. A.?.
486E73	Pica8
486EFB	Davit System Technology
486FD2	StorSimple Inc
4C60D5	airPointe Of New Hampshire
4C60DE	Netgear
4C6255	Sanmina-SCI System de Mexico S.A. de C.V.
4C63EB	Application Solutions (Electronics and Vision)
4C64D9	Guangdong Leawin Group
4C65A8	IEEE Registration Authority
4C6641	Samsung Electro-Mechanics(Thailand)
4C6E6E	Comnect Technology
506028	Xirrus
506184	Avaya Inc
5061BF	Cisco Systems
5061D6	Indu-Sol
506313	Hon Hai Precision Ind.
50642B	XIAOMI ElectronicsCo.
506441	Greenlee
506583	Texas Instruments
5065F3	Hewlett-Packard Company
506787	Planet Networks
5067AE	Cisco Systems
5067F0	ZyXEL Communications
50680A	Huawei Technologies
506A03	Netgear
506B4B	Mellanox Technologies
506B8D	Nutanix
506CBE	InnosiliconTechnology
506E92	Innocent Technology
506F77	Huawei Technologies
506F98	Sehaj Synergy Technologies Private Limited
506F9A	Wi-Fi Alliance
546009	Google
546172	Zodiac Aerospace SAS
5461EA	Zaplox AB
5464D9	Sagemcom Broadband SAS
5465DE	ARRIS Group
54666C	Shenzhen YOUHUA Technology
546751	Compal Broadband Networks
546C0E	Texas Instruments
546D52	Topview Optronics.
58605F	Huawei Technologies
586163	Quantum Networks (SG) Pte.
586356	FN-Link Technology Limited
58639A	TPL Systemes
5865E6	Infomark
5866BA	Hangzhou H3C TechnologiesLimited
58671A	Barnes&Noble
58677F	Clare Controls
58685D	Tempo Australia Pty
58696C	Ruijie Networks
5869F9	Fusion Transactive
586AB1	Hangzhou H3C TechnologiesLimited
586D8F	Cisco-Linksys LLC
586ED6	Private
5C63BF	TP-Link Technologies
5C6776	IDS Imaging Development Systems
5C6984	Nuvico
5C6A7D	Kentkart EGE Elektronik SAN. VE TIC. STI. 
5C6A80	ZyXEL Communications
5C6B32	Texas Instruments
5C6B4F	Hello
5C6D20	Hon Hai Precision Ind.
5C6F4F	S.A. Sistel
60601F	SZ DJI Technology
6063F9	Ciholas
6063FD	Transcend Communication Beijing
606405	Texas Instruments
606453	AOD
6064A1	RADiflow
606720	Intel 
606944	Apple
60699B	isepos
606BBD	Samsung Electronics
606BFF	Nintendo
606C66	Intel 
606D3C	Luxshare Precision Industry Company Limited
606DC7	Hon Hai Precision Ind.
646184	Velux
646223	Cellient
64649B	Juniper Networks
6465C0	NuvonInc
6466B3	TP-Link Technologies
646707	Beijing Omnific Technology
64680C	Comtrend 
6469BC	Hytera Communications Co .
646A52	Avaya Inc
646A74	Auth-ServersLLC
646CB2	Samsung Electronics
646D6C	Huawei Technologies
646E69	Liteon Technology 
646E6C	Radio Datacom LLC
646EEA	Iskratel d.o.o.
686359	Advanced Digital Broadcast SA
68644B	Apple
68692E	Zycoo
686975	Angler Labs Inc
6869F2	ComAp s.r.o.
686E23	Wi3
686E48	Prophet Electronic Technology.
6C60EB	ZHI Yuan ElectronicsLimited
6C6126	Rinicom Holdings
6C626D	Micro-Star International
6C641A	Penguin Computing
6C6EFE	Core Logic
6C6F18	Stereotaxis
7060DE	LaVision
706173	Calantec
7062B8	D-Link International
706417	Orbis Tecnologia Electrica S.A.
706582	Suzhou Hanming Technologies
7065A3	Kandao lightforge
70661B	Sonova AG
706879	Saijo Denki International
70695A	Cisco Systems
706BB9	Cisco Systems
706DEC	Wifi-soft LLC
706E6D	Cisco Systems
706F81	Private
74614B	Chongqing Huijiatong Information Technology
7463DF	VTS
7465D1	Atlinks
746630	T:mi Ytti
7467F7	Extreme Networks
746A3A	Aperi 
746A89	Rezolt 
746A8F	VS Vision Systems
746B82	Movek 
746BAB	Guangdong Enok Communication
746EE4	Asia Vital Components
746F19	Icarvisions (Shenzhen) Technology
746F3D	Contec
746FF7	Wistron Neweb 
78617C	Mitsumi Electric
786256	Huawei Technologies
7864E6	Green Motive Technology Limited
7866AE	ZTEC Instruments
7867D7	Apple
7868F7	YSTen Technology
786A89	Huawei Technologies
786C1C	Apple
786D94	Palo Alto Networks
7C6097	Huawei Technologies
7C6193	HTC 
7C6456	Samsung Electronics
7C669D	Texas Instruments
7C67A2	Intel 
7C69F6	Cisco Systems
7C6AB3	IBC Technologies
7C6AC3	GatesAirInc
7C6ADB	SafeTone Technology
7C6AF3	Integrated Device Technology (Malaysia) Sdn. Bhd.
7C6B33	Tenyu Tech
7C6B52	Tigaro Wireless
7C6B9C	Guangdong Oppo Mobile Telecommunications.
7C6BF7	NTI
7C6C39	Pixsys SRL
7C6C8F	AMS Neve
7C6D62	Apple
7C6DF8	Apple
7C6F06	Caterpillar Trimble Control Technologies
7C6FF8	ShenZhen ACTO Digital Video Technology
806007	RIM
80615F	Beijing Sinead Technology 
80618F	Shenzhen sangfei Consumer Communications
806459	Nimbus
80656D	Samsung Electronics
8065E9	BenQ 
806629	Prescope Technologies
806AB0	Shenzhen TINNO Mobile Technology.
806C1B	Motorola Mobility LLCa Lenovo Company
806C8B	Kaeser Kompressoren AG
806CBC	NET New Electronic Technology
8461A0	ARRIS Group
846223	Shenzhen Coship Electronics
8462A6	EuroCB (Phils)
8463D6	Microsoft 
84683E	Intel 
846878	Apple
846AED	Wireless Tsukamoto.Co.Ltd
846EB1	Park Assist LLC
88615A	Siano Mobile Silicon
8863DF	Apple
886639	Huawei Technologies
8866A5	Apple
88685C	Shenzhen ChuangDao & Perpetual Eternal Technology
886AB1	vivo Mobile Communication
886AE3	Alpha Networks
886B0F	Bluegiga Technologies Oy
886B44	Sunnovo International Limited
886B6E	Apple
886B76	China Hopeful Group Hopeful Electric
8C604F	Cisco Systems
8C60E7	Mpgio
8C6102	Beijing Baofengmojing Technologies
8C640B	Beyond Devices d.o.o.
8C6422	Sony Mobile Communications Inc
8C6878	Nortek-AS
8C6AE4	Viogem Limited
8C6D50	Shenzhen MTC Co
8C6D77	Huawei Technologies
9060F1	Apple
90610C	Fida International (S) Pte
9061AE	Intel 
906717	Alphion India Private Limited
90671C	Huawei Technologies
9067B5	Alcatel-Lucent
9067F3	Alcatel Lucent
9068C3	Motorola Mobility LLCa Lenovo Company
906CAC	Fortinet
906DC8	DLG Automa??o Industriala
906EBB	Hon Hai Precision Ind.
906F18	Private
906FA9	Nanjing Putian Telecommunications Technology
94611E	Wata Electronics 
946124	Pason Systems
946269	ARRIS Group
946372	vivo Mobile Communication
9463D1	Samsung Electronics
94652D	OnePlus Technology (Shenzhen)
94659C	Intel 
9466E7	WOM Engineering
946AB0	Arcadyan 
986022	EMW
9866EA	Industrial Control Communications
986B3D	ARRIS Group
986C5C	Jiangxi Gosun Guard Security
986CF5	zte 
986D35	IEEE Registration Authority
986DC8	Toshiba Mitsubishi-Electric Industrial Systems 
986F60	Guangdong Oppo Mobile Telecommunications.
9C611D	Omni-ID USA
9C6121	Sichuan Tianyi Comheart Telecomco.
9C62AB	Sumavision Technologies
9C63ED	zte 
9C645E	Harman Consumer Group
9C65B0	Samsung Electronics
9C65EE	DASAN Network Solutions
9C65F9	AcSiP Technology.
9C6650	Glodio Technolies Tianjin Branch
9C685B	Octonion SA
9C6ABE	QEES ApS.
9C6C15	Microsoft 
9C6F52	zte 
A06090	Samsung Electronics
A06391	Netgear
A0648F	Askey Computer
A06518	Vnpt Technology
A06610	Fujitsu Limited
A067BE	Sicon srl
A06986	Wellav Technologies
A06A00	Verilink 
A06A44	VizioInc
A06CEC	RIM
A06D09	Intelcan Technosystems
A06E50	Nanotek Elektronik Sistemler Sti.
A06FAA	LG Innotek
A46011	Verifone
A46032	MRV Communications (Networks)
A46191	NamJunSa
A462DF	DS Global.
A46706	Apple
A468BC	Private
A46C2A	Cisco Systems
A46CC1	LTi REEnergy
A46CF1	Samsung Electronics
A46E79	DFT SystemLtd
A860B6	Apple
A8610A	Arduino AG
A861AA	Cloudview Limited
A862A2	Jiwumedia
A863DF	Displaire 
A863F2	Texas Instruments
A86405	nimbus 9Inc
A865B2	Dongguan Yishang Electronic TechnologyLimited
A8667F	Apple
A86A6F	RIM
A86AC1	HanbitEDS
A86B7C	Shenzhen Fenglian Technology
A86BAD	Hon Hai Precision Ind.
AC60B6	Ericsson AB
AC6123	Drivven
AC6175	Huawei Technologies
AC61EA	Apple
AC620D	Jabil Circuit(Wuxi)
AC63BE	Amazon Technologies
AC6417	Siemens AG - Industrial Automation - EWA
